"","div_index","habitat","num_sign","avg_stat","sd_stat","avg_pval","sd_pval"
"1","taxo_q0","Algae",85,17.805,5.18831972956193,0.0254203063380178,0.0318837383653573
"2","taxo_q0","Fish",0,2324.285,60.2312569865665,0.777270864588837,0.144488637582405
"3","taxo_q0","Sediment",100,36.94,4.6770879310904,0.00513178833699766,0.00328990380673017
"4","taxo_q0","Turf",100,253.92,8.2543897106297,0.004275925722011,0.00407186015862794
"5","taxo_q0","Water",0,138.375,10.1857434037418,0.694101523743039,0.217731664987788
"6","taxo_q1","Algae",84,18.52,6.31733225884842,0.0373507761588257,0.0686032444074752
"7","taxo_q1","Fish",0,2279.59,48.3865109761434,0.672675682069577,0.142152013373003
"8","taxo_q1","Sediment",100,43.57,5.12915020429133,0.0142094240289556,0.00960420911007807
"9","taxo_q1","Turf",100,261.7,6.89532120683689,0.0015888003763426,0.00130090614081241
"10","taxo_q1","Water",0,128.5,10.4383713269646,0.787304157369033,0.174426154860602
