"Genus","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Akkermansia","Akkermansia","7.1","5.89","0.12","2.42","6.68","5.57"
"Alistipes","Alistipes","0.92","0.48","0.12","1.24","3.86","1.86"
"Arcobacter","Arcobacter","0.15","0.32","1.19","0.49","1.6","4.66"
"Bacteroides","Bacteroides","0.99","0.33","4.13","1.62","0.24","0.49"
"Breznakia","Breznakia","0","0.08","0","4","0","0.02"
"Coprobacillus","Coprobacillus","0.59","1.4","0.72","1.05","0.15","0.23"
"Desulfovibrio","Desulfovibrio","22.64","29.45","5.37","20.65","34.66","37.23"
"dgA-11_gut_group","dgA-11_gut_group","5.19","3.01","0.12","2.13","0.86","0.95"
"Epulopiscium","Epulopiscium","10.3","9.31","0.02","0.04","1.02","0"
"Fusobacterium","Fusobacterium","9.58","8.23","3.83","19.52","9.87","14.15"
"Labilibacter","Labilibacter","5.59","7.27","0.65","4.55","14.65","13.21"
"Macellibacteroides","Macellibacteroides","2.04","0.91","0","0","0.12","0.01"
"Neglecta","Neglecta","0.2","0.79","1.34","0.18","0.32","0.23"
"Odoribacter","Odoribacter","9.19","5.17","0.32","9.49","4.28","5.55"
"Other","Other","0.17","0.18","1.12","0.28","0.52","0.54"
"Rikenella","Rikenella","16.21","18.84","5.52","25.8","17.35","11.52"
"Rikenellaceae_RC9_gut_group","Rikenellaceae_RC9_gut_group","6.83","3.11","0.32","1.38","1.69","0.7"
"Ruminococcaceae_UCG-014","Ruminococcaceae_UCG-014","0.96","3.6","71.84","3.48","0.71","0.19"
"Ruthenibacterium","Ruthenibacterium","0.37","0.53","1.21","0.24","1.01","0.51"
"Sedimentibacter","Sedimentibacter","0.66","0.62","1.89","0.67","0.33","1.46"
"Tyzzerella","Tyzzerella","0.31","0.48","0.17","0.77","0.07","0.92"
