"Genus","unique","Algae","Fish","Seagrass","Sediment","Turf","Water"
"Actibacter","Actibacter","3.54","0.12","1.54","2.33","3.78","0.18"
"Akkermansia","Akkermansia","0.01","8.01","0.25","0.02","0.04","0.07"
"Aliishimia","Aliishimia","0.09","0","0.57","0.09","0.21","6.56"
"Alistipes","Alistipes","0.01","9.69","0.34","0","0.02","0.19"
"Candidatus","Candidatus","0.01","0","0.09","0.02","0.03","17.3"
"Desulfovibrio","Desulfovibrio","0.01","25.78","1.3","0.06","0.45","0.22"
"Erythrobacter","Erythrobacter","2.21","0.07","1.26","0.45","3.74","0.53"
"Granulosicoccus","Granulosicoccus","2.79","0","2.96","0.42","0.89","0.03"
"NS4_marine_group","NS4_marine_group","0.04","0","0.9","0.04","0.09","12.79"
"NS5_marine_group","NS5_marine_group","0.01","0","1.25","0.01","0.11","10.89"
"Other","Other","75.62","43.44","74.4","62.92","64.59","29.34"
"Prochlorococcus","Prochlorococcus","0.22","0.01","0.85","0.06","0.14","18.28"
"Pseudoruegeria","Pseudoruegeria","3.74","0.1","3.39","1.92","3.72","0.42"
"Rikenella","Rikenella","0.02","12.19","0.6","0.02","0.24","0.11"
"Robiginitalea","Robiginitalea","0.78","0.09","0.67","2.52","3.58","0.2"
"Rubripirellula","Rubripirellula","0.94","0.12","1.46","3.63","2.04","0.09"
"Ruegeria","Ruegeria","2.27","0.15","2.67","0.73","4.23","0.21"
"Sulfitobacter","Sulfitobacter","2.45","0.12","2.43","0.55","3.31","1.26"
"Winogradskyella","Winogradskyella","4.46","0.08","1.86","2.32","6.34","1.23"
"Woeseia","Woeseia","0.58","0.01","0.77","9.87","1.51","0.04"
"Zeaxanthinibacter","Zeaxanthinibacter","0.18","0.01","0.46","12.04","0.93","0.07"
