"Order","unique","Algae","Fish","Seagrass","Sediment","Turf","Water"
"Bacteroidales","Bacteroidales","0.05","22.34","1.25","0.92","0.38","0.48"
"Caulobacterales","Caulobacterales","3.25","0.01","1.54","1.22","2.51","0.32"
"Cellvibrionales","Cellvibrionales","3.15","0.04","1.34","1.67","3.77","1.05"
"Chitinophagales","Chitinophagales","10.03","0.01","16.54","6.46","3.06","0.85"
"Clostridiales","Clostridiales","0.34","20.54","1.66","0.11","0.7","0.39"
"Cytophagales","Cytophagales","1.56","0.05","0.79","4.58","6.56","0.64"
"Desulfobacterales","Desulfobacterales","0.28","0.28","0.58","7","0.97","0.05"
"Desulfovibrionales","Desulfovibrionales","0.03","30.62","1.42","0.06","0.72","0.58"
"Erysipelotrichales","Erysipelotrichales","0.01","6.89","0.16","0.01","0.08","0.03"
"Flavobacteriales","Flavobacteriales","19.57","0.21","13.7","21.69","20.48","26.31"
"Gammaproteobacteria_Incertae_Sedis","Gammaproteobacteria_Incertae_Sedis","1.18","0.07","0.57","1.88","3.52","0.06"
"Microtrichales","Microtrichales","2.99","0","4.96","1.48","1.76","0.06"
"Other","Other","13.89","14.09","15.35","28.73","10.45","24.57"
"Pirellulales","Pirellulales","2.24","0.14","3.92","5.98","3.57","0.1"
"Rhizobiales","Rhizobiales","2.01","0.05","1.7","3.29","3.36","0.09"
"Rhodobacterales","Rhodobacterales","29.8","0.49","29.39","7.07","30.11","11.2"
"SAR11_clade","SAR11_clade","0.01","0","0.08","0.01","0.04","18.25"
"Sphingomonadales","Sphingomonadales","4.19","0.04","2.07","0.89","4.3","0.46"
"Steroidobacterales","Steroidobacterales","0.43","0","0.49","6.07","1.18","0.03"
"Synechococcales","Synechococcales","0.23","0.01","0.58","0.05","0.13","14.23"
"Verrucomicrobiales","Verrucomicrobiales","4.76","4.13","1.92","0.84","2.37","0.25"
