"Order","unique","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Actinomarinales","Actinomarinales","0.49","0.5","2.05","1.2"
"B2M28","B2M28","2.96","1.81","7.93","4.74"
"Bacteroidales","Bacteroidales","2.54","2.06","0.22","0.03"
"BD7-8","BD7-8","0.64","2.02","6.69","5.37"
"Caulobacterales","Caulobacterales","0.38","1","0.32","2.8"
"Cellvibrionales","Cellvibrionales","1.04","1.96","0.92","2.74"
"Chitinophagales","Chitinophagales","2.23","3.31","8.14","8.99"
"Cytophagales","Cytophagales","5.73","4.41","4.23","4.2"
"Desulfobacterales","Desulfobacterales","13.54","9.72","6.19","2.12"
"Ectothiorhodospirales","Ectothiorhodospirales","2.58","3.2","2.39","0.4"
"Flavobacteriales","Flavobacteriales","29.16","26.44","13.08","23.16"
"Gammaproteobacteria_Incertae_Sedis","Gammaproteobacteria_Incertae_Sedis","3.95","3.61","0.86","0.74"
"Microtrichales","Microtrichales","0.54","2.11","1.46","1.9"
"Myxococcales","Myxococcales","0.86","0.51","1.3","1.01"
"Other","Other","9.31","9.11","16.26","14.94"
"Pirellulales","Pirellulales","6.34","8.04","5.46","5.44"
"Rhizobiales","Rhizobiales","2.41","3.44","3.17","3.97"
"Rhodobacterales","Rhodobacterales","9.36","12.29","3.36","7.09"
"Steroidobacterales","Steroidobacterales","4.06","4.04","8.2","6.16"
"Syntrophobacterales","Syntrophobacterales","0.09","0","3.68","1.44"
"Thermoanaerobaculales","Thermoanaerobaculales","1.76","0.4","4.08","1.54"
