"Phylum","unique","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidobacteria","Acidobacteria","1.77","0.46","4.38","1.8"
"Actinobacteria","Actinobacteria","1.04","2.61","3.52","3.1"
"Bacteroidetes","Bacteroidetes","41.36","36.73","27.39","37.92"
"Calditrichaeota","Calditrichaeota","0.26","0.11","0.78","0.35"
"Chlamydiae","Chlamydiae","0","0","0","0"
"Chloroflexi","Chloroflexi","1.07","0.71","0.62","0.18"
"Cyanobacteria","Cyanobacteria","1.44","0.69","0.08","0.04"
"Dadabacteria","Dadabacteria","0.18","1.01","0.01","0.01"
"Deinococcus-Thermus","Deinococcus-Thermus","0","0.06","0.19","0.3"
"Epsilonbacteraeota","Epsilonbacteraeota","0.09","0.41","0.01","0"
"Firmicutes","Firmicutes","0.26","0.15","0.04","0.13"
"Fusobacteria","Fusobacteria","0.01","0.01","0.12","0.1"
"Kiritimatiellaeota","Kiritimatiellaeota","0","0.1","0.03","0.05"
"Latescibacteria","Latescibacteria","0","0.04","0.08","0.03"
"Lentisphaerae","Lentisphaerae","0","0","0.02","0"
"Other","Other","0","0","0","0"
"Patescibacteria","Patescibacteria","0","0","0.01","0.03"
"Planctomycetes","Planctomycetes","6.49","8.08","6.04","5.94"
"Proteobacteria","Proteobacteria","44.11","47.4","55.72","48.31"
"Spirochaetes","Spirochaetes","1.53","0.83","0.16","0.1"
"Verrucomicrobia","Verrucomicrobia","0.38","0.6","0.77","1.59"
