"factor","df","Sum_sq","Mean_sq","F-value","p-value","data_type","rank","q","div_facet"
"Groups",2,0.009,0.005,1.517,0.232,"q0","Phylum","","q0"
"Residuals",40,0.124,0.003,NA,NA,"q0","Phylum","","q0"
"Groups",2,0.006,0.003,7.051,0.002,"q1","Phylum","","q1"
"Residuals",40,0.016,0,NA,NA,"q1","Phylum","","q1"
"Groups",2,0.038,0.019,8.089,0.001,"q0","Family","","q0"
"Residuals",40,0.093,0.002,NA,NA,"q0","Family","","q0"
"Groups",2,0.048,0.024,8.993,0.001,"q1","Family","","q1"
"Residuals",40,0.107,0.003,NA,NA,"q1","Family","","q1"
"Groups",2,0.031,0.015,13.297,0,"q0","ASV","","q0"
"Residuals",40,0.046,0.001,NA,NA,"q0","ASV","","q0"
"Groups",2,0.066,0.033,10.398,0,"q1","ASV","","q1"
"Residuals",40,0.127,0.003,NA,NA,"q1","ASV","","q1"
