"Class","unique","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidimicrobiia","Acidimicrobiia","5.33","9.96","3.17","2.9","1.31"
"Actinobacteria","Actinobacteria","0.03","0","0","0.11","0.01"
"Alphaproteobacteria","Alphaproteobacteria","23.45","46.46","40.98","44.26","26.18"
"Bacilli","Bacilli","0.03","0.06","0.06","0.02","0.02"
"Bacteroidia","Bacteroidia","33.32","16.04","18.36","27.16","46.97"
"Campylobacteria","Campylobacteria","0.07","0.09","0","0","0.03"
"Clostridia","Clostridia","0.18","0.04","0","0.1","1.32"
"Dadabacteriia","Dadabacteriia","0.07","0.92","0.05","0.01","0"
"Deferribacteres","Deferribacteres","0","0","0","0","0.19"
"Dehalococcoidia","Dehalococcoidia","0.15","0.08","0","0","0"
"Deinococci","Deinococci","0.12","0.03","0","0","0.01"
"Deltaproteobacteria","Deltaproteobacteria","0.39","0.41","0.02","0.3","2.07"
"Fusobacteriia","Fusobacteriia","0.22","0.11","0.08","0.1","0.44"
"Gammaproteobacteria","Gammaproteobacteria","9.22","9.07","23.83","12.83","5.28"
"Kiritimatiellae","Kiritimatiellae","0.02","0.06","0.09","0.27","0.12"
"Mollicutes","Mollicutes","0.03","0.01","0","0","0.27"
"Other","Other","0.06","0.08","0","0.14","0.12"
"Oxyphotobacteria","Oxyphotobacteria","26.53","16.11","13.32","8.73","11.65"
"Planctomycetacia","Planctomycetacia","0.15","0.24","0","0.07","0.05"
"Rhodothermia","Rhodothermia","0","0","0","1.94","3.15"
"Verrucomicrobiae","Verrucomicrobiae","0.64","0.23","0.04","1.05","0.8"
