"data_type","species","rank","q","div_facet","F.value","p.value","merged_col","avg_North_Red_Sea","avg_Levantine_Sea","avg_Northern_Crete","sd_North_Red_Sea","sd_Levantine_Sea","sd_Northern_Crete"
"taxo_q0","Siganus_luridus","all_scfa",NA,"q0",1.476,0.234,"Siganus_luridus_q0_all_scfa",0.0421883639475239,NA,0.0340746374959727,0.0175785881631204,NA,0.0174811734883838
"taxo_q0","Siganus_luridus","C1",NA,"q0",1.25,0.272,"Siganus_luridus_q0_C1",0.0441289201113048,NA,0.0559809004005188,0.0245402673488521,NA,0.0290760510806833
"taxo_q0","Siganus_luridus","C2",NA,"q0",9.833,0.004,"Siganus_luridus_q0_C2",0.0426537502702475,NA,0.00776768573455354,0.0454074764699129,NA,0.0182208086587226
"taxo_q0","Siganus_luridus","C3",NA,"q0",6.608,0.015,"Siganus_luridus_q0_C3",0.0640638712259341,NA,0.0315856194249354,0.0368763794530947,NA,0.0313847234494995
"taxo_q0","Siganus_luridus","C4",NA,"q0",0.472,0.497,"Siganus_luridus_q0_C4",0.0387557005895982,NA,0.0443938322819794,0.0168677346082016,NA,0.0232151123990392
"taxo_q0","Siganus_luridus","C5",NA,"q0",0.002,0.964,"Siganus_luridus_q0_C5",0.0538697433561902,NA,0.0528897877067801,0.0528751151558365,NA,0.0585000158833273
"taxo_q0","Siganus_rivulatus","all_scfa",NA,"q0",25.948,0,"Siganus_rivulatus_q0_all_scfa",0.0934195609391811,0.0652685087568931,0.031083941721417,0.0526286515778311,0.0418053096690155,0.0254009129082143
"taxo_q0","Siganus_rivulatus","C1",NA,"q0",15.976,0,"Siganus_rivulatus_q0_C1",0.0913239708466294,0.0938926219576634,0.0354972964462632,0.0788697014575386,0.0565471088930513,0.0309400642554256
"taxo_q0","Siganus_rivulatus","C2",NA,"q0",44.96,0,"Siganus_rivulatus_q0_C2",0.155995194281884,0.0350189970423548,0.0215606402716457,0.108517260929466,0.05115207716635,0.0372949832126269
"taxo_q0","Siganus_rivulatus","C3",NA,"q0",17.266,0,"Siganus_rivulatus_q0_C3",0.0707493012701805,0.0708962829624623,0.0261958893289282,0.0365784076421494,0.059089758991837,0.0253623948069943
"taxo_q0","Siganus_rivulatus","C4",NA,"q0",25.5,0,"Siganus_rivulatus_q0_C4",0.0764835173403227,0.0638240644566748,0.0330285854744833,0.0412829020374229,0.0286109413781134,0.0177152302829232
"taxo_q0","Siganus_rivulatus","C5",NA,"q0",7.887,0.001,"Siganus_rivulatus_q0_C5",0.149183227020506,0.0904315083029539,0.0778398651071079,0.102721213146844,0.0784228080159244,0.0732758437097714
"taxo_q1","Siganus_luridus","all_scfa",NA,"q1",0.109,0.743,"Siganus_luridus_q1_all_scfa",0.0351825393097897,NA,0.0382664234715703,0.0264516032706779,NA,0.0235232663318499
"taxo_q1","Siganus_luridus","C1",NA,"q1",0.541,0.468,"Siganus_luridus_q1_C1",0.0249468702354495,NA,0.0302149823101536,0.0197535830988191,NA,0.0183511355581194
"taxo_q1","Siganus_luridus","C2",NA,"q1",0.782,0.384,"Siganus_luridus_q1_C2",0.037004929487527,NA,0.0278498100913974,0.0387789528860881,NA,0.0202049859674706
"taxo_q1","Siganus_luridus","C3",NA,"q1",1.095,0.304,"Siganus_luridus_q1_C3",0.019862478867069,NA,0.0266016364836397,0.0178199209126351,NA,0.0164750318956727
"taxo_q1","Siganus_luridus","C4",NA,"q1",0.662,0.422,"Siganus_luridus_q1_C4",0.0454604740964597,NA,0.0609225615436139,0.0375415050751477,NA,0.0542407563149529
"taxo_q1","Siganus_luridus","C5",NA,"q1",0.04,0.843,"Siganus_luridus_q1_C5",0.0505999183792948,NA,0.0469358145650624,0.0468115984835392,NA,0.0486985911866635
"taxo_q1","Siganus_rivulatus","all_scfa",NA,"q1",27.206,0,"Siganus_rivulatus_q1_all_scfa",0.0648495309905644,0.0175794504236309,0.0201210105431944,0.0495338765866558,0.0232438244367083,0.0172822525346827
"taxo_q1","Siganus_rivulatus","C1",NA,"q1",25.057,0,"Siganus_rivulatus_q1_C1",0.0514392105397897,0.0137307145569051,0.0146902946073216,0.0405658707286087,0.0225854259022392,0.0134957033469384
"taxo_q1","Siganus_rivulatus","C2",NA,"q1",15.409,0,"Siganus_rivulatus_q1_C2",0.0615056921847136,0.016737678454589,0.0211990957629708,0.0651449074342666,0.0165180429768224,0.0228615792965823
"taxo_q1","Siganus_rivulatus","C3",NA,"q1",20.026,0,"Siganus_rivulatus_q1_C3",0.0446068844301734,0.0114141630020507,0.0105883759537959,0.0430057220862298,0.0220240770033239,0.0104837221168658
"taxo_q1","Siganus_rivulatus","C4",NA,"q1",10.635,0,"Siganus_rivulatus_q1_C4",0.0668053623852853,0.020901243226543,0.0331037860900446,0.0636625045124393,0.0305085133598674,0.0362636155420675
"taxo_q1","Siganus_rivulatus","C5",NA,"q1",17.689,0,"Siganus_rivulatus_q1_C5",0.0920923010135715,0.0359131007706489,0.0331142889087028,0.0752387118641958,0.0350857282913578,0.031757808797842
