"facet","compartment","factor","num_signif","avg_p","avg_f","avg_r2"
"taxo","algae","region",4,0.068,5.97066666666667,0.0938333333333333
"taxo","algae","season",4,0.0495,3.173,0.051
"taxo","algae","region:season",1,0.433833333333333,1.0252,0.0116666666666667
"taxo","sediment","region",6,0.001,22.7106666666667,0.3765
"taxo","sediment","season",4,0.0835,4.64566666666667,0.0693333333333333
"taxo","sediment","region:season",2,0.156833333333333,2.724,0.0458333333333333
"taxo","turf","region",6,0.001,8.716,0.283333333333333
"taxo","turf","season",5,0.114,3.731,0.0605
"taxo","turf","region:season",6,0.00616666666666667,3.80833333333333,0.105166666666667
"taxo","water","region",6,0.001,34.988,0.481833333333333
"taxo","water","season",6,0.00416666666666667,15.3068333333333,0.0915
"taxo","water","region:season",5,0.168166666666667,9.173,0.0721666666666667
"taxo","s_luridus","region",6,0.00116666666666667,18.238,0.328833333333333
"taxo","s_luridus","season",1,0.375,2.15025,0.0353333333333333
"taxo","s_luridus","region:season",6,0.0108333333333333,9.50333333333333,0.126166666666667
"taxo","s_rivulatus","region",6,0.001,30.2885,0.316333333333333
"taxo","s_rivulatus","season",4,0.334333333333333,4.9575,0.0183333333333333
"taxo","s_rivulatus","region:season",6,0.001,31.1061666666667,0.174166666666667
"phylo","s_luridus","region",6,0.00133333333333333,21.6238333333333,0.377333333333333
"phylo","s_luridus","season",0,0.468166666666667,1.77925,0.025
"phylo","s_luridus","region:season",6,0.008,11.8265,0.148333333333333
"phylo","s_rivulatus","region",6,0.001,36.6428333333333,0.359833333333333
"phylo","s_rivulatus","season",3,0.411666666666667,4.262,0.0116666666666667
"phylo","s_rivulatus","region:season",6,0.001,40.6808333333333,0.203666666666667
